course_title,subject_catalog,instructors,year_term,term_type,start_date,end_date,start_time,end_time,weekdays,class_number,course_id,consent,enrolled,waitlist,lecture_sunday,lecture_monday,lecture_tuesday,lecture_wednesday,lecture_thursday,lecture_friday,lecture_saturday,description,notes,school,units,cross_registration,department,course_component,instruction_mode,grading_basis,course_requirements,general_education,quantitative_reasoning,divisional_distribution
Thesis in Satisfaction of Degree Doctor of Design,ADV 9504 009,Carole Voulgaris,2026 Spring,Full Term,,,,,,19283,200060,No Consent,,,False,False,False,False,False,False,False,Thesis in Satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Urban Planning & Design,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 012,Peter Rowe,2026 Spring,Full Term,,,,,,19639,200061,No Consent,,,False,False,False,False,False,False,False,Thesis extension in satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Architecture,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 007,Richard Peiser,2026 Spring,Full Term,,,,,,19290,200061,No Consent,,,False,False,False,False,False,False,False,Thesis extension in satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Architecture,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 013,Carole Voulgaris,2026 Spring,Full Term,,,,,,19640,200061,No Consent,,,False,False,False,False,False,False,False,Thesis extension in satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Architecture,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 002,Diane Davis,2026 Spring,Full Term,,,,,,19285,200061,No Consent,,,False,False,False,False,False,False,False,Thesis extension in satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Architecture,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 005,Ali Malkawi,2026 Spring,Full Term,,,,,,19288,200061,No Consent,,,False,False,False,False,False,False,False,Thesis extension in satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Architecture,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis in Satisfaction of Degree Doctor of Design,ADV 9504 007,Mohsen Mostafavi,2026 Spring,Full Term,,,,,,19281,200060,No Consent,,,False,False,False,False,False,False,False,Thesis in Satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Urban Planning & Design,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 011,Charles Waldheim,2026 Spring,Full Term,,,,,,19294,200061,No Consent,,,False,False,False,False,False,False,False,Thesis extension in satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Architecture,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis in Satisfaction of Degree Doctor of Design,ADV 9504 008,Peter Rowe,2026 Spring,Full Term,,,,,,19282,200060,No Consent,,,False,False,False,False,False,False,False,Thesis in Satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Urban Planning & Design,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 010,Carole Voulgaris,2026 Spring,Full Term,,,,,,19293,200061,No Consent,,,False,False,False,False,False,False,False,Thesis extension in satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Architecture,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 015,,2026 Spring,Full Term,,,,,,19642,200061,No Consent,,,False,False,False,False,False,False,False,Thesis extension in satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Architecture,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
MDes Open Project 9707,ADV 9707,Marina Otero Verzier,2026 Spring,Full Term,,,,,,19607,223103,No Consent,,,False,False,False,False,False,False,False,"MDes Open Project is an 8-unit, project-based, design-research collaboration supporting individual projects and peer review. The class is required of, and only open to, all students in the Master of Design Studies program in the fourth semester of study. All sections are open to all MDes Domains although certain projects may be more suitable for students with a given interest or skillset. Enrollment takes place via lottery.",,Graduate School of Design,,,Graduate School of Design,Advanced Research Seminar,In Person,GSD Graded,,,,
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 014,Charles Waldheim,2026 Spring,Full Term,,,,,,19641,200061,No Consent,,,False,False,False,False,False,False,False,Thesis extension in satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Architecture,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 016,,2026 Spring,Full Term,,,,,,19643,200061,No Consent,,,False,False,False,False,False,False,False,Thesis extension in satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Architecture,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Thesis Extension in Satisfaction of Degree Doctor of Design,ADV 9506 017,,2026 Spring,Full Term,,,,,,19644,200061,No Consent,,,False,False,False,False,False,False,False,Thesis extension in satisfaction of the degree Doctor of Design.,,Graduate School of Design,,,Architecture,Thesis Research,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
Discourse and Research Methods,ADV 9691,Ali Malkawi,2026 Spring,Full Term,,,,,,19600,200073,No Consent,,,False,False,False,False,False,False,False,"This proseminar is a core requirement for successful completion of the Doctor of Design program. It will primarily focus on themes that span various topical areas and the methods and skills that might be involved in each area. Generally, these will include historical thinking, critical thinking, thinking about technologies, analysis of social settings, theorizing landscapes, and theorizing aspects of urban form, as well as analyzing its environmental performance. Each seminar will be two or more hours in duration and comprised of presentation by an invited faculty member on a theme of their research and scholarly interest, followed by discussion among the class.",,Graduate School of Design,,,Graduate School of Design,Discussion-based Seminar,In Person,GSD Satisfactory/Unsatisfactory (Degree Credit),,,,
MDes Open Project 9704,ADV 9704,Eric Rodenbeck,2026 Spring,Full Term,,,,,,19604,221710,No Consent,,,False,False,False,False,False,False,False,"MDes Open Project is an 8-unit, project-based, design-research collaboration supporting individual projects and peer review. The class is required of, and only open to, all students in the Master of Design Studies program in the fourth semester of study. All sections are open to all MDes Domains although certain projects may be more suitable for students with a given interest or skillset. Enrollment takes place via lottery.",,Graduate School of Design,,,Graduate School of Design,Advanced Research Seminar,In Person,GSD Graded,,,,
MDes Open Project 9705,ADV 9705,Julia WATSON,2026 Spring,Full Term,,,,,,19605,221711,No Consent,,,False,False,False,False,False,False,False,"MDes Open Project is an 8-unit, project-based, design-research collaboration supporting individual projects and peer review. The class is required of, and only open to, all students in the Master of Design Studies program in the fourth semester of study. All sections are open to all MDes Domains although certain projects may be more suitable for students with a given interest or skillset. Enrollment takes place via lottery.",,Graduate School of Design,,,Graduate School of Design,Advanced Research Seminar,In Person,GSD Graded,,,,
Discourse and Methods II,ADV 9692,Antoine Picon,2026 Spring,Full Term,,,,,,19649,200074,No Consent,,,False,False,False,False,False,False,False,"The objective of the seminar is to examine and discuss in depth some of the main methodological issues that students enrolled in the PhD program in Architecture, Landscape Architecture and Urban Planning may encounter in their studies and research. The seminar will be based on extensive reading as well as presentations by the instructor and the students. Other faculty members involved in the PhD program will also give presentations.",,Graduate School of Design,,,Graduate School of Design,Discussion-based Seminar,In Person,GSD Graded,,,,
Master in Real Estate Practicum Prep,ADV 9850,"Kristen Hunter, Frank Apeseche, Matthew Kiefer",2026 Spring,Full Term,,,,,,19491,222649,No Consent,,,False,False,False,False,False,False,False,"The Master in Real Estate Practicum is a three-part academic experience that enables students to apply the knowledge and skills acquired during their time in-residence at Harvard to a practice-based institutional environment that makes a meaningful contribution to their education as well as to the host organization.The Practicum begins with the 0-unit Prep Seminar in the Fall and Spring terms, where students are introduced to participating organizations, explore emerging trends in professional practice, and prepare for a productive summer placement.During the Summer term, students complete a two-month, full-time Practicum with a private, public, or non-profit real estate organization, participating in ongoing real estate projects or initiatives that advance cutting-edge practices, including those promoting social and environmental best practices. The experience concludes with a final paper and participation in two days of presentations and discussion at the GSD during Orientation Week.Together, these components comprise 12 course units, equivalent to three term-long courses. Participation is limited to students in the Master in Real Estate program at the GSD.",,Graduate School of Design,,,Urban Planning & Design,Discussion-based Seminar,In Person,GSD Satisfactory/Unsatisfactory,,,,
Introduction to African Studies,AFRAMER   11,Daniel Agbiboa,2026 Spring,Full Term,,,,,,17596,123591,No Consent,,,False,False,False,False,True,False,False,"This course introduces students to the rich diversity and complexity of Africa, including its historical dynamics, economic developments, social and political practices, and popular cultures. Throughout, we assume that Africa is not a unique isolate but a continent bubbling with internal diversity, historical change, entrepreneurial spirit, and cultural links beyond its shores. Our goal is to train students to think rigorously about Africa from interdisciplinary and transnational perspectives. We also aim to equip students with the analytical tools necessary for recognizing and deconstructing reductionist and stereotyped narratives of Africa. The course is open to all students who are interested in exploring various dimensions of African life, politics, peoples and cultures from the past to the postcolony.",Required of concentrators in African Studies track.,Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,N/A,N/A,Social Sciences
Introduction to African American Studies,AFRAMER   10,Jesse McCarthy,2026 Spring,Full Term,,,,,,17607,122910,No Consent,,,False,True,False,True,False,False,False,This course aims to provide an interdisciplinary examination of the complex array of African-American cultural and political practices from slavery to the present.  The course will involve close readings of a variety of primary sources and classic texts that present key issues in African American thought and practice.  The course will place special emphasis on debates concerning African American people with the goal of introducing students to the process and the methodology of interdisciplinarity.  We will look at the way the debates function across disciplines to delve deeper into not only the complexity of African American life and thought but also the breadth of African American Studies itself.,"Required of concentrators in the African American Studies track. Students who transfer into the concentration after their sophomore year may substitute another African and African American Studies course already taken if the course addresses the materials covered in African and African American Studies 10, and the petition is approved by the Director of Undergraduate Studies.",Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,N/A,N/A,Social Sciences
The Black American Experience Through Film,AFRAMER  118X,Myisha Eatmon,2026 Spring,Full Term,,,,,,20829,227732,No Consent,,,False,False,False,False,False,False,False,"Black Americans have helped shape most areas of life in the United States, and Black stories and Black History have been a part of American cinematography for ages. From Black Panther to If Beale Street Could Talk, Black Americans’ history and lived experiences have been shown on the big screen around the world. This course extends beyond traditional social justice or Black Freedom Struggle frameworks. Students will engage with films as both historical visualization tools and cultural artifacts, developing critical skills to analyze how popular culture shapes historical understanding. We could consider these major motion pictures as forms of “public history,” examining how they influence collective memory and historical consciousness. Key questions driving the course include: What historical silences emerge in cinematic representations of Black American experience, and how do these omissions shape popular understandings of Black American history and culture? How do we address the tensions between commercial imperatives—box office success and streaming numbers—and historical accuracy in filmmaking?",,Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,N/A,N/A,Arts and Humanities
African Language Archives in disciplines and professions,AFRAMER  166X,John Mugane,2026 Spring,Full Term,,,,,,19365,224461,Instructor,,,False,False,True,False,True,False,False,"Africa in the World: Voices from the Archives re-examines Africa’s place in global history, challenging the traditional view of regions like sub-Saharan Africa, Ethiopia, the Horn of Africa, and the Swahili Coast asremote peripheries. Instead, students discover how African peoples and communities have been centralplayers in shaping transcontinental networks linking Africa with Asia and Europe from the 4th century totoday. Through a series of vivid weekly case studies–from the first Muslim refugees finding sanctuary atthe Christian court of Abyssinia to a Zanzibari princess in Victorian Europe–the course highlights Africa’s global reach in religion, trade, politics, and culture. We will ask big questions about power andperspective: How does the story of the Indian Ocean change when told with the Swahili Coast as the vantage point? What histories have been overlooked by calling it the “Indian” Ocean and “Arabian” Sea instead of an“African Sea”? Students engage with an array of sources and tools to investigate these questions: historic chronicles and archival records, travelogues, oral traditions, and material culture (art, architecture, coins, and artefacts). By centering African voices and experiences, the course not only broadens our understanding of the past but also prompts us to rethink modern assumptions about Africa’s role in the world. This course welcomes all students and invites everyone to reflect on how global history looksdifferent when seen through African eyes.Course Objectives:By the end of this course, students will be able to:• Re-examine Africa’s role in global history by analyzing how African societies shaped, and were shaped by, transcontinental connections across the Indian Ocean and beyond from late antiquity to the present.• Recognize and challenge inherited historical narratives that have cast Africa as marginal or isolated, developing a critical awareness of how historical knowledge is produced and whose perspectives have been privileged or silenced.• Interpret a wide range of evidence, including written texts, oral traditions, architecture, artworks, coins, inscriptions and artefacts, in order to reconstruct African experiences and contributions to world civilizations.• Appreciate the interdisciplinary nature of historical study by drawing on methods from history, anthropology, religious studies, art history and linguistics to explore different dimensions of the past.• Analyze case studies of African individuals and communities who engaged in cross-cultural exchange, such as merchants, scholars, refugees, rulers and writers, in order to understand how Africans exercised agency in shaping global networks.• Work directly with primary sources, both archival and material, to gain practical experience in interpreting evidence and evaluating its context and reliability.• Draw meaningful connections between historical study and contemporary issues by considering how African perspectives inform present-day understandings of cultural identity, migration, religion, and global interdependence.• Bring together their learning through independent research or creative work that integrates analytical and reflective skills to demonstrate Africa’s enduring presence in world history, culminating in a living archive.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,N/A,N/A,Social Sciences
American Democracy,AFRAMER  123Z,"John Stauffer, Roberto Mangabeira Unger",2026 Spring,Full Term,,,,,,13670,111438,No Consent,,,False,False,False,False,False,False,False,"Democracy, inequality, and nationalism in America.  The white working class and American politics. Class and race. Identities and interests.  Conditions for socially inclusive economic growth and for the deepening and dissemination of the knowledge economy. Alternative directions of institutional change, viewed in light of American history. Democratizing the market and deepening democracy. Self-reliance and solidarity. We explore and discuss the past, present, and especially the future of the American experiment among ourselves and with invited guests: thinkers, politicians, social activists, and entrepreneurs.Readings drawn from classic and contemporary writings about the United States. Extended take-home examination.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,N/A,N/A,Social Sciences
Black Religion and Sexuality,AFRAMER  108,Ahmad Greene-Hayes,2026 Spring,Full Term,,,,,,19570,223002,Instructor,,,False,False,False,False,False,False,False,"This course examines the co-constructed histories of religion, sexuality, and race in the Americas from the vantage of the African diaspora. Drawing upon foundational and newer works in the field, we will explore how the construction of these categories, largely rooted in biological essentialism, has had immense consequences for the enslaved and their descendants, indigenous peoples, other people of color, and women, queer, transgender, and gender-nonconforming individuals. This course also homes in on how those marginalized by these categories have challenged and subverted them using a hermeneutics of suspicion, political organizing, and other methods of resistance and feminist and queer theologizing.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,N/A,N/A,Arts and Humanities
Foundational Fiction and Film,AFRAMER  163X,Doris Sommer,2026 Spring,Full Term,,,,,,20135,227626,No Consent,,,False,False,False,False,False,False,False,"Through novels that helped to consolidate nation-states in Latin America, explores modernity as personal and public lessons in laissez-faire. Sequels in film, telenovelas, performances show tenacity of genre. Links between creativity and citizenship. Theorists include Anderson, Foucault, Arendt, Lukacs, Flaubert.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,N/A,N/A,Arts and Humanities
"Chocolate, Culture, and the Politics of Food",AFRAMER  119X,Carla Martin,2026 Spring,Full Term,,,,,,12974,108879,Instructor,,,False,False,False,False,True,False,False,"This course will examine the sociohistorical legacy of chocolate, with a delicious emphasis on the eating and appreciation of the so-called “food of the gods.” Interdisciplinary course readings will introduce the history of cacao cultivation, the present day state of the global chocolate industry, the diverse cultural constructions surrounding chocolate, and the implications for chocolate’s future of scientific study, international politics, alternative trade models, and the food movement. Assignments will address pressing real world questions related to chocolate consumption, social justice, responsible development, honesty and the politics of representation in production and marketing, hierarchies of quality, and myths of purity.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,N/A,N/A,Social Sciences
African Landscape Architecture: Alternative Futures for the Field,AFRAMER  143Y,Gareth Doherty,2026 Spring,Full Term,,,,,,13913,224017,Instructor,,,False,False,False,False,False,False,False,"A central aim of this seminar is to reveal the plurality of ways landscapes are shaped across the African continent and how they help mitigate the impacts of changing climates and social injustice now and in the future. Africa is a continent rich in landscape projects and practices but only eight out of fifty-four African nations have professional associations of landscape architects. The course is framed around three central questions: 1.) How is landscape architecture currently practiced in African countries? (2.) What lessons can we learn from landscape practices in various African societies that can help mitigate the impacts of climate change and social inequities? (3.) As landscape architecture unfolds across the continent in the next 50–200 years, how can it continue assert its agency in the fight against changing climates and social inequity and claim a central space in the shaping of African cities of the future? Each week we will focus on a different country including South Africa, Botswana, Tanzania, Rwanda, Kenya, Ethiopia, Egypt, Tunisia, Morocco, Côte d’Ivoire, Ghana, and Nigeria. In collaboration with several landscape architecture university programs across Africa and including practitioners and academics from across the continent, this seminar will explore what it means to practice and teach landscape architecture in societies in which the profession is nascent or non-existent and speculate on the future of the shaping of landscapes in the Global South.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,N/A,N/A,Social Sciences
Introduction to African literature and film,AFRAMER  111Y,Tinashe Mushakavanhu,2026 Spring,Full Term,,,,,,20435,227667,No Consent,,,False,False,True,False,False,False,False,"From traditional folktales reimagined on Netflix to groundbreaking novels and bold Nollywood productions, we’ll discover how African writers and filmmakers have shaped and reshaped the continent’s image from the 1950s to today. Together, we’ll read powerful works by authors like Chinua Achebe, Ngugi wa Thiong’o, Dambudzo Marechera, Ama Ata Aidoo, Binyavanga Wainaina, Namwali Serpell among others, and engage with cinematic works by directors such as Ousmane Sembene and Tsitsi Dangarembga. We’ll explore how these creators respond to colonial histories, challenge stereotypes, celebrate culture, and imagine new futures. Students will gain tools to think critically about representation, identity, language, and power  and to appreciate Africa not as a single story, but as a continent of vast creative voices and visions. No prior knowledge is expected -  just curiosity, openness, and a willingness to see the world differently.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,N/A,N/A,Arts and Humanities
"Abolition, Then and Now",AFRAMER  179X,"Walter Johnson, Andrew Crespo",2026 Spring,Full Term,,,,,,20127,226604,Instructor,,,False,True,False,False,False,False,False,"The modern American prison abolition movement consciously evokes the nineteenth century movement to abolish slavery. The institutions each movement sought to end—chattel slavery and the contemporary carceral state—are also directly linked, by intersecting lineages and genealogies, and by the text of the Thirteenth Amendment, which outlawed slavery “except as a punishment for crime” and thus preserved the legality of American slavery to this day, within prisons. This course examines these linkages between institutions of coercive state power and between the movements that oppose them and seek to build different social systems, norms, and structures in their wake.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,N/A,N/A,Social Sciences
"Religion, Culture, and Society in Africa",AFRAMER  186,Jacob Olupona,2026 Spring,Full Term,,,,,,14860,222688,No Consent,,,False,False,False,False,True,False,False,"Exploring the meaning of religion  and its  impact of on African culture and society broadly, this course will highlight both religious traditions and innovations. Instead of treating each of the religions of Africa, the triple heritage in the words of Ali Mazrui of indigenous African religions, Islam, and Christianity, as distinct and bounded entities, we will explore the hybridity, interaction, and integration between categories throughout Africa. Using case studies, a unique perspective on religious diversity on the African continent and diaspora will emerge.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,N/A,N/A,Arts and Humanities
African American Lives in the Law,AFRAMER  191X,Evelyn Brooks Higginbotham,2026 Spring,Full Term,,,,,,21259,127960,No Consent,,,False,False,False,False,True,False,False,"This seminar focuses on biographical and autobiographical writings in a historical examination of the role of the individual in the American legal process. We will seek to understand how specific African Americans (as lawyers, judges, and litigants) made a difference-how their lives serve as a ""mirror to America""-and also to understand the ways personal experience informs individual perspectives on the law and justice.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,N/A,N/A,Social Sciences
Topics in the History of Atlantic Slavery: Seminar,AFRAMER  242,Vincent Brown,2026 Spring,Full Term,,,,,,20438,227668,Instructor,,,False,False,False,True,False,False,False,"Will introduce graduate students to major synthetic works on the history of Atlantic slavery, surveying the period between the mid-15th century and the late 19th, and provide them an opportunity to develop original research projects.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,N/A,N/A,Social Sciences
Made to Feel: Race & Affect in the Americas,AFRAMER  185Y,Amber Henry,2026 Spring,Full Term,,,,,,20800,227691,Instructor,,,False,False,False,True,False,False,False,"How is race felt? This course examines how affect—the subjective experience of feelings and intensities—shapes processes of racial formation. Bridging texts across history, anthropology, and psychology, it takes an interdisciplinary approach to understanding how ideas about affect inform the making of racial categories. Drawing on the history of science, psychological anthropology, and studies of embodiment, we consider how affective intensities such as joy, anger, love, grief, suspicion, and privilege inscribe categories of the human. By focusing on cases from Latin America, the Caribbean, and the United States, the course explores how affects are produced locally and circulated globally.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,N/A,N/A,Social Sciences
Theory and Race in the Americas,AFRAMER  202,Brandon Terry,2026 Spring,Full Term,,,,,,20128,218312,Instructor,,,False,False,False,False,True,False,False,"This course surveys myths, theories, discourses, and debates surrounding the meaning of race and its role in the historical formation of the “New World” in the Americas. Beginning with the origins of racial theory in Renaissance and Enlightenment Europe, we will follow their evolution and expansion into scientific and culturalist discourses in the nineteenth century, and through the dramatic transformations of the twentieth century leading up to the present. Readings will range from canonical scholars, orators, social scientists, and philosophers up to the most contemporary thinkers. Along the way, we will read work by Ottobah Cugoano, W.E.B. Du Bois, C.L.R. James, Hortense Spillers, Paul Gilroy, Sylvia Wynter, Walter Rodney, Frantz Fanon, Denise Ferreira da Silva, James Baldwin, Cedric Robinson, Angela Davis, Imani Perry, Khalil Muhammad, Saidiya Hartman, Charles Mills, Jackie Wang, Michel-Rolph Trouillot, Audre Lorde and Cornel West among others. The course places an emphasis on building foundations in the historiography and intellectual genealogy of racial discourses as they have been constructed, reproduced, contested, reimagined, and ultimately disseminated throughout the American hemisphere and beyond.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Lecture,,FAS Letter Graded,,N/A,N/A,Social Sciences
Race and Ethnicity in Latin America,AFRAMER  219B,"Alejandro de la Fuente, Paulina Alberto",2026 Spring,Full Term,,,,,,15691,215791,Instructor,,,False,False,False,False,False,False,False,"This yearlong seminar introduces students to current questions and debates in the study of race and ethnicity in Latin America, from the colonial period to the present. Our seminar answers the call, issued by anthropologist Peter Wade (1997), to produce scholarship integrating the study of Africans and their descendants, along with indigenous peoples, as participants in shared processes of racial formation, nation making, and state building. Through the systematic comparison of several cases, the course discusses how ideas of race have shaped processes of nation and state formation in Latin America, shaping opportunities for mobilization and public policies; how racial identities have been formed and invoked for different cultural and political purposes; and how ideas of race and ethnicity have contributed to the stratification of Latin American societies, which are among the most unequal in the world.",,Faculty of Arts & Sciences,,,African & African Amer Studies,Seminar,,FAS Letter Graded,,N/A,N/A,Social Sciences
