course_title,subject_catalog,instructors,year_term,term_type,start_date,end_date,start_time,end_time,weekdays,class_number,course_id,consent,enrolled,waitlist,lecture_sunday,lecture_monday,lecture_tuesday,lecture_wednesday,lecture_thursday,lecture_friday,lecture_saturday,description,notes,school,units,cross_registration,department,course_component,instruction_mode,grading_basis,course_requirements,general_education,quantitative_reasoning,divisional_distribution
Topics in Chinese Culture and Society,CHNSE  150A,Jing Cai,2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,1:15pm,Mon Wed Fri,11349,119757,No Consent,0,0,False,True,False,True,False,True,False,The course seeks to consolidate and hone students’ advanced Chinese ability through in-depth examination of Chinese society and culture.,No auditors. May not be taken Pass/Fail.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,East Asian Langs & Civ,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Topics in Biophysics,PHYSICS  317B,Xiaowei Zhuang,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,11068,119764,Instructor,0,0,False,False,False,False,False,False,False,Dissertation research. Not a lecture or seminar course.,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Physics,Doctoral Dissertation,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Mechanisms underlying accurate meiotic chromosome segregation,GENETIC  374,Monica Colaiacovo,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,11109,120007,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Tutorial - Sophomore Year,SCAND   97,Agnes Broome,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10632,110857,Instructor,0,0,False,False,False,False,False,False,False,Group or individual tutorial designed to supplement course work and acquaint students with appropriate analytical methods.,Open to concentrators in the Scandinavian option. Permission of the Director of Undergraduate Studies for Scandinavian required.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Germanic Languages & Lit,Tutorial,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Tutorial - Senior Year,E-PSCI   99A,"Chloe Anderson, Esther James",2025 Fall,Full Term,2025-09-02,2025-12-03,,,,13360,120379,No Consent,0,0,False,False,False,False,False,False,False,Research and writing of the senior thesis under faculty direction.,"To enroll, students must submit a registration form, which includes permission of their faculty sponsor, to the Academic Programs Manager.",Faculty of Arts & Sciences,0,Not Available for Cross Registration,Earth & Planetary Sciences,Tutorial,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Supervised Readings in Advanced Russian,RUSS  120R,Steven Clancy,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12348,120380,Instructor,0,0,False,False,False,False,False,False,False,"Intended for students who have already taken other department offerings. Reading, discussion, and writing on special topics not addressed in other courses. Conducted as a tutorial. Requires a course proposal to apply; acceptance is not automatic. See note on independent language tutorials on our website for details about the application process.","Languages in the tutorial program are offered when there is demonstrated curricular or academic need on the part of the student, and when suitable instruction can be arranged.  Please contact the department to learn more.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Slavic Languages & Literatures,Tutorial,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Junior Tutorial - Museums and Collections,HAA   98AR,,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,5:45pm,Tue,13198,110650,Instructor,0/15,0,False,False,True,False,False,False,False,"Required of juniors concentrating in History of Art and Architecture. A group tutorial consisting of weekly meetings with a graduate student, with regular reading and writing assignments. HAA 98ar offers concentrators the choice of several study groups investigating a particular field or topic in art history, including each year: museums and collections; race and aesthetics; the art of looking and writing, and; architectural methods. Concentrators select two of the group tutorial topics.For AY 24-25, the following topics will be offered:HAA 98AR - ""Museums and Collections"" (Fall)HAA 98BR - ""Architectural Methods"" (Fall)HAA 98CR - ""Race and Aesthetics"" (Spring)HAA 98DR - ""Writing Art History"" (Spring)",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,History of Art & Architecture,Tutorial,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Advanced Complex Analysis,MATH  213A,Curtis McMullen,2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,1:15pm,Tue Thu,10636,110880,No Consent,0/9999,0,False,False,True,False,True,False,False,"Fundamentals of complex analysis, and further topics such as conformal mapping, hyperbolic geometry, canonical products, elliptic functions and modular forms.Prerequisites: Basic complex analysis, topology of covering spaces, differential forms.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Mathematics,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Dissertation Research,SHBT  330,Gwenaelle Geleoc,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12184,110387,No Consent,0,0,False,False,False,False,False,False,False,For SHBT graduate students studying in research labs at MIT or MGHIHP only.,For SHBT graduate students studying in research labs at MIT or MGHIHP only.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Clinical work at MGHIHP,SHBT  311,Gwenaelle Geleoc,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10627,110390,No Consent,0/9999,0,False,False,False,False,False,False,False,,For SHBT students only.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Research in Statistics,STAT  300HFRA,Mark Glickman,2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,1:15pm,Thu,11617,110392,Instructor,0,0,False,False,False,False,True,False,False,Participants discuss recent research in statistics and present their own work in progress. Open to doctoral students in statistics. Students must complete both parts of this course (parts A and B) within the same academic year in order to receive credit.,,Faculty of Arts & Sciences,0,Not Available for Cross Registration,Statistics,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Planning and Learning Methods in AI,COMPSCI 1820,Stephanie Gil,2025 Fall,Full Term,2025-09-02,2025-12-03,11:15am,12:30pm,Tue Thu,17015,110661,No Consent,0,0,False,False,True,False,True,False,False,"Artificial Intelligence (AI) is already making a powerful impact on modern technology, and is expected to be even more transformative in the near future. The course introduces the ideas and techniques underlying this exciting field, with the goal of teaching students to identify effective representations and approaches for a wide variety of computational tasks. Topics covered in this course are broadly divided into search and planning, optimization and games, and uncertainty and learning. Special attention is given to ethical considerations in AI and to applications that benefit society. For more information please see the course website.",This course was previously numbered CS 182.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Computer Science,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Reading and Research,MONGOLN  300,Mark Elliott,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10555,110665,Instructor,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,East Asian Langs & Civ,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Advanced Topics in Systems Biology,SYSBIO  300QC,Timothy Mitchison,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10582,109968,Instructor,0/9999,0,False,False,False,False,False,False,False,"Series of intensive seminars, each running for 6 hours. Three seminars, which can be taken in different terms, are required for credit.",,Faculty of Arts & Sciences,2,Not Available for Cross Registration,Systems Biology,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Supervised Reading and Research,PHIL   91R,Ned Hall,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10649,110932,Instructor,0,0,False,False,False,False,False,False,False,Graded independent study under faculty supervision. Interested students need approval of Director of Undergraduate Studies for their topic and must propose a detailed syllabus before the beginning of term.,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Philosophy,Tutorial,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Advanced Scientific Computing: Numerical Methods,APMTH  205,Nick Trefethen,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,4:15pm,Mon Wed,13503,110684,Instructor,0/100,0,False,True,False,True,False,False,False,"Mathematical theory and implementation aspects of well-established numerical algorithms applied in various scientific and engineering disciplines. The course will cover data fitting, numerical linear algebra, numerical differentiation and integration, optimization, and numerical methods for differential equations. There will be a significant programming component. Students will be expected to implement a range of numerical methods as part of individual and group-based projects. The material is sufficiently diverse to match each student's background and programming skills.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Applied Mathematics,Lecture,N/A,FAS Letter Graded,N/A,N/A,Yes,Science & Engineering & Applied Science
Federal Research Funding,HLTHPOL 3050,John Hsu,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,15680,110065,Instructor,0/20,0,False,False,False,False,False,False,False,"This course focuses on federal scientific research grant applications. Students will learn about the most common forms of federal grant applications, basic components of applications, and the scientific review process for NIH / AHRQ. Students will develop a dissertation grant application, and will review actual grant applications as part of the course.",Required of AHRQ and NIMH trainees. Offered in alternate years.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Health Policy,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,Social Sciences
Cellular Biology and Molecular Medicine,MCB   60,"Dominic Mao, Marissa Gredler, Emma Nagy",2025 Fall,Full Term,2025-09-02,2025-12-03,10:30am,11:45am,Mon Wed,10638,110424,No Consent,0,0,False,True,False,True,False,False,False,"MCB 60 provides an introduction to the principles of molecular and cellular biology and their connections to biomedicine. The course explores how medical syndromes provide insights into biological processes and how biological mechanisms underlie human disease and physiology. Topics range from DNA repair, protein folding and vesicle transport to metabolism, cell migration, and cancer. Content for lecture topics comprising of reading and viewing material will be released weekly followed by mandatory, interactive live sessions with the instructors. Weekly sections will combine a laboratory that focuses on experimental design and data analysis, primary literature reading, and review of lecture materials.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Molecular & Cellular Biology,Lecture,N/A,FAS Letter Graded,"Prerequisite - LS1A, LPSA, or LS50",N/A,N/A,Science & Engineering & Applied Science
Tutorial - Junior Year,AFVS   98R,,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12615,110715,Instructor,0,0,False,False,False,False,False,False,False,"This research-based writing workshop is required for all AFVS undergraduate concentrators in the film and visual studies curricular area. Please consult with the Director of Undergraduate Studies for more information prior to enrolling. For concentrators in the film/video or studio art curricular areas, this tutorial offers individual instruction in subjects of special interest that cannot be studied in regular courses. Film/video or studio concentrators wishing to take a tutorial in their junior year must find a member of the faculty to advise the project and submit an application to the Director of Undergraduate Studies in the previous semester.",Letter-graded only. The Director of Undergraduate Studies approves AFVS 98 in the student's Crimson Cart.,Faculty of Arts & Sciences,4,Not Available for Cross Registration,"Art, Film, and Visual Studies",Tutorial,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
A Humanities Colloquium from Homer to Joyce,HUMAN   10A,"Louis Menand, David Elmer, Glenda Carpio, Stephen Greenblatt, Tara Menon, Jonathan Bolton",2025 Fall,Full Term,2025-09-02,2025-12-03,10:30am,11:45am,Tue,11351,110440,Instructor,0/90,0,False,False,True,False,False,False,False,"A Humanities Colloquium: from Homer to Joyce:  2,500 years of essential works, taught by six professors. Humanities 10a will tentatively include works by Homer, Sappho, Sophocles, Plato, Virgil, Dante, Boccaccio, Shakespeare, Descartes, Du Bois, Kafka and Woolf. One 75-minute lecture plus a 75-minute discussion seminar led by the professors every week. Students will receive instruction in critical writing one hour a week, in writing labs and individual conferences. Students also have opportunities to participate in a range of cultural experiences, ranging from plays and musical events to museum and library collections.",The course is open only to first-year students. Students who complete Humanities 10a meet the Harvard College Curriculum divisional distribution requirement for Arts & Humanities. Students who take both Humanities 10a and Humanities 10b fulfill the College Writing requirement. This is the only course outside of Expository Writing that satisfies the College Writing requirement. No auditors. The course may not be taken Pass/Fail. Students must apply to be admitted to the course. Enrollment is limited to 90.,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Humanities,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Biologically Inspired Design and Control of Medical Devices and Robots,ENG-SCI  380,Conor Walsh,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12787,122347,Instructor,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Engineering Sciences,Thesis Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
"Developmental Cognitive Neuroscience, Focusing Primarily on Memory and Face Processing",NEUROBIO  336,Charles Nelson,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,11099,121800,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
"Development, Function, and Disease State of the Inner Ear",NEUROBIO  303,Zheng-Yi Chen,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,11101,121803,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Structural Biology of Retroviral Replication,MCB  316A,Victoria D'Souza,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,11195,122424,Instructor,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Molecular & Cellular Biology,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Reading and Research in Arabic Language and Civilization,ARABIC  300,Nader Uthman,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,14339,122472,Instructor,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Near Eastern Languages & Civ,Reading and Research,N/A,FAS Letter Graded,N/A,N/A,N/A,None
Beyond Dualism: Descartes and His Critics,PHIL  125,Alison Simmons,2025 Fall,Full Term,2025-09-02,2025-12-03,1:30pm,2:45pm,Mon Wed,17664,121954,Instructor,0/15,0,False,True,False,True,False,False,False,"Few metaphysicians would identify as Cartesian dualists today. Nevertheless, it’s hard to deny that we live in a world shaped by Cartesian dualism: we distinguish somatic health from mental health; we dissociate our minds from our bodies on a long run; we try to get the mind back into the body through yoga. After looking at the two sides of Cartesian dualism, Cartesian body and Cartesian mind, we will consider some of the notorious metaphysical problems it gives rise to and six 17th- century attempts to push back against it in the figures of Princess Elizabeth of Bohemia, the Cambridge Platonists Henry More and Ralph Cudworth, Margaret Cavendish, Anne Conway, and Anton Wilhelm Amo.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Philosophy,Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Finding Connections: Perspectives on Psychological Development and Mental Illness,FYSEMR   25N,Nancy Rappaport,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,5:00pm,Tue,13958,122458,Instructor,0/12,0,False,False,True,False,False,False,False,"The seminar's challenge will be to deepen our understanding of human development and how individuals cope with serious emotional or social difficulties (neglect, bipolar disorder, autism, depression, schizophrenia).  We will use multiple perspectives:  medical observations and texts that provide practical knowledge (e.g. The New England Journal of Medicine review articles), narrative readings to understand how patients experience the meaning of illness from the inside out (e.g. The Center Cannot Hold), visitors who will discuss their experience with mental illness, and how development-related mental illness is portrayed in the press (e.g. The New Yorker articles).  We will start with the mental life of babies and how scientists interpret infants’ nonverbal ways of finding safety and security.  This begins the journey of our understanding fundamental needs for tenderness, holding, and making meaning.  Understanding how conditions such as autism, depression, and schizophrenia are described in clinical research and literature will help us to appreciate the biological vulnerabilities and relational patterns that may disrupt the human connection.  We will examine the resourcefulness required for both fragility and resiliency.  Throughout the seminar, the instructor, as a practicing child and adolescent psychiatrist, will bridge the gap between research findings, clinical applications, and everyday insight.",,Faculty of Arts & Sciences,4,Not Available for Cross Registration,First Year Seminar Program,Seminar,N/A,FAS Satisfactory/Unsatisfactory,Course open to Freshman Students Only,N/A,N/A,None
Theoretical Chemistry,CHEM  386,Alan Aspuru-Guzik,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,11031,122695,Instructor,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Chemistry & Chemical Biology,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Mechanisms of neuro-vascular interactions in the central nervous system,NEUROBIO  306,Chenghua Gu,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,11103,121804,No Consent,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Applied Condensed Matter Physics,APPHY  302,Donhee Ham,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,12722,121977,Instructor,0/9999,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Applied Physics,Thesis Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,Science & Engineering & Applied Science
Skepticism and Knowledge,FYSEMR   31J,Catherine Elgin,2025 Fall,Full Term,2025-09-02,2025-12-03,3:00pm,5:00pm,Tue,13962,121901,Instructor,0/12,0,False,False,True,False,False,False,False,"Descartes wrote his Meditations because he realized that, although he had received the best education in the world, much of what he had learned was false or unfounded.  This led him to embark on a systematic investigation to discover whether knowledge is possible.  Harvard freshmen face a similar predicament. Having dutifully learned what they were taught, and evidently learned it well, some find themselves questioning its cognitive adequacy.  Much that they learned in school seems superficial, incomplete, oversimplified, or incorrect.  Is it possible to know the way the world is? Can I know that I am not a brain in a vat being manipulated into thinking that I am an embodied human being? Can I know that the Louisiana Purchase occurred in 1803, that electrons have negative charge, that Hamlet is a masterpiece, that the sun will rise tomorrow?  How can I tell whether a report is ‘fake news’?  Are there ‘alternative facts?’  Is uncertainty regrettable or valuable or both?",,Faculty of Arts & Sciences,4,Not Available for Cross Registration,First Year Seminar Program,Seminar,N/A,FAS Satisfactory/Unsatisfactory,Course open to Freshman Students Only,N/A,N/A,None
Rapid Reading Classical Hebrew I: Pentateuch,CLAS-HEB  130AR,Vladimir Olivero,2025 Fall,Full Term,2025-09-02,2025-12-03,12:00pm,1:59pm,Thu,11476,122692,No Consent,0,0,False,False,False,False,True,False,False,"This course is designed to help students increase their reading fluency with Classical Hebrew (in the Tiberian tradition), deepen their knowledge of Hebrew morphosyntax, and expand their Hebrew vocabulary by covering large areas of biblical Hebrew narrative from the Pentateuch  (selections from Genesis through Deuteronomy). In the process, students will be exposed to Hebrew prose materials that are key to understanding the history of ancient Israel and Judah and the formation of the Hebrew Bible. Prerequisites: Classical Hebrew AA/AB sequence, CH 120a, and 120b, or equivalent to two years of academic study of Classical Hebrew.",Offered jointly with the Divinity School as 1625.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Near Eastern Languages & Civ,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Turkish Languages and Literatures,TURKISH  300,Himmet Taskomur,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,13351,121963,Instructor,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Near Eastern Languages & Civ,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Research Topics in Human-Computer Interaction,COMPSCI 2790R,Elena Glassman,2025 Fall,Full Term,2025-09-02,2025-12-03,1:30pm,2:45pm,Mon Wed,13471,121985,Instructor,0,0,False,True,False,True,False,False,False,"Students will read, write about, prepare presentations about, and discuss human-computer interaction (HCI) and HCI-relevant work with a focus on papers about interfaces and automation that work especially well with (or clash against) human cognitive capabilities. Papers will primarily be on the building and evaluation of novel systems, as well as theories of and studies characterizing human cognition relevant to human-AI interaction scenarios. As a semester-long final project, students will pursue a research project of their own design in self-organized groups and present their findings in writing and orally in a conference-style format, as means to understand more deeply the processes behind HCI research.","Designed for PhD students from all areas; a diversity of disciplinary backgrounds has greatly benefited past student teams. Several student teams have subsequently iterated on and published their projects in top-tier venues. Masters students and advanced undergraduates are welcome, particularly those who wish to write a thesis or apply for a PhD in an area related to Human-Computer Interaction. This course was previously numbered CS 279R.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Computer Science,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
"Language, Structure, and Cognition",LING   83,Kathryn Davidson,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,18683,122514,No Consent,0,0,False,False,False,False,False,False,False,"Even though everyone speaks or signs at least one language, the complexity of language in its structure and function is often underappreciated and misunderstood. This myth-busting class guides students to the field of linguistics. Together, we will explore how language is structured from sound to conversation, how language is related to society, and how language is processed in the brain and simulated by machines. Students will engage with linguistic data, explore language technology, and reflect on their positions in the social world through ideologies about languages and their speakers. At the end of the class, with a taste for being a linguist, students will appreciate the skills and opportunities that linguistics can offer.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Linguistics,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Mechanisms of RNA virus pathology explored in cerebral organoids from human embryonic stem cells,MICROBI  318,Lee Gehrke,2025 Fall,Full Term,2025-09-02,2025-12-03,,,,10731,110558,No Consent,0,0,False,False,False,False,False,False,False,,,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Supervised Research,PSY  910R,"Jill Hooley, Katherine Powers",2025 Fall,Full Term,2025-09-02,2025-12-03,,,,15168,110768,Instructor,0,0,False,False,False,False,False,False,False,"Independent empirical research (laboratory or field) conducted under the supervision of a Psychology Departmental faculty member or Board of Honors Tutors member. Research report or equivalent paper required. May be taken up to three times for College credit; limits on research courses for concentration credit apply.The Psychology 910R Application is required for admission, which can be found at https://undergrad.psychology.fas.harvard.edu/forms. You must submit the completed and signed application to the Psychology Undergraduate Office - either in-person at William James Hall 218, or via e-mail at psychology@wjh.harvard.edu - by 4 PM the weekday before the Course Registration Deadline. Following initial course registration, PSY910R can only be added before 4 PM on the day of the Open Add/Drop deadline each semester.",This course is administered by the Psychology Undergraduate Office. Email psychology@wjh.harvard.edu for questions about the course.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Psychology,Reading and Research,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
