course_code,course_title,course_teacher,link,fas_code,unique_code,course_id,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_probability_mean,gem_probability_median,gem_probability_mode,gem_probability_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_probability
AMHARIC 101AR,Advanced Amharic 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=200cf1a6ca48bdd31dd94c2ec7022d9eb1a4aae6b7d70ed76ab2db2c49e9a6ddcfe81f2ef533b5c74a24718c32519f39&ReportType=2&regl=en-US,FAS-205845-2248-1-1-001,FAS-205845-2248-1-1-001(Mugane),205845,5,6,4.75,5.0,5.0,0.4351941398892446,0.0,0.0,0.0,-1.0,2.67,3.0,3.0,0.58,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0
IGBO AA,Elementary Igbo 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0a67a5943645afc00b330a63e113666204095a050c21297723c8dc8246fb8471ca7db23c89ffde9c502882bf25c5de19&ReportType=2&regl=en-US,FAS-126308-2248-1-1-001,FAS-126308-2248-1-1-001(Mugane),126308,6,9,4.0,4.0,3.0,0.8206518066482898,0.0,0.0,0.0,-1.0,5.5,4.5,4.0,2.35,4.4,4.0,4.0,0.55,0.50245,0.76905,0.8481,0.620971327840505,0.0,0.0,0.0,0.0,"this class is fun and you definitely get what you put in. onyenkuzi (the professor) is very open and responsive to helping you learn the language and more about the culture. could be frustrating  at times, but ultimately love this class (and my parents do too!).",0.8916,Approach everything with an open mind and don't be afraid of mistakes!,-0.4199,,0.0
SWAHILI AA,Elementary Swahili 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7dd211cd673ce95e1d5bae74d6d5b1c8f7ced973534d70b66e8959e3b51f780491febade3d6309d309b12e2357b91194&ReportType=2&regl=en-US,FAS-119819-2248-1-1-001,FAS-119819-2248-1-1-001(Mugane),119819,7,12,4.33,4.5,5.0,0.7528397417562895,4.67,5.0,5.0,0.47258156262526085,9.2,12.0,13.0,4.82,4.33,4.5,5.0,0.82,0.7163666666666667,0.9524,0.2144,0.434972876549025,0.0,0.0,0.0,0.0,"Loved taking swahili this semester! The course staff is amazing and always so enthusiastic about helping. This is a small class so you can get plenty of help if you want it. That said, you'll do best if you take initiative and have a real motivation for learning the language –– there aren't vocabulary lists or a textbook. You'll need to take the initiative to memorize vocabulary and grammar as you go along. If you do so, the class really isn't that hard and can be quite fun.",0.9823,,0.0,,0.0
SWAHILI 101AR,Reading in Swahili 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f7b432ed98e79f5a27871b86beaf4eaf0dd263854f0f5300d91bfd5a2480df7ebd838a27164cda98d72798447d1fc6b5&ReportType=2&regl=en-US,FAS-119820-2248-1-1-001,FAS-119820-2248-1-1-001(Mugane),119820,6,7,5.0,5.0,5.0,0.0,0.0,0.0,0.0,-1.0,4.0,3.0,8.0,3.61,5.0,5.0,5.0,0.0,0.8356,0.8356,0.8356,-1.0,0.0,0.0,0.0,-1.0,Please take this class. Bi Mmari is such a wonderful professor and this class helps you keep in touch with everything in East Africa and the wider Swahili world. You'll learn a lot in this class!,0.8356,,0.0,,0.0
YORUBA AA,Elementary Yoruba 001,Ehineni,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5ec3ceeff67e73bb62b310e3eb6195a0fd5b9ef28618d37529f006ad243e0154a3869bc2c98fe4aed929449d3b831ec6&ReportType=2&regl=en-US,FAS-120952-2248-1-1-001,FAS-120952-2248-1-1-001(Ehineni),120952,17,25,4.73,5.0,5.0,0.4461960433384737,4.93,5.0,5.0,0.2564323999762428,5.67,5.0,8.0,3.62,4.6,5.0,5.0,0.63,0.5832272727272727,0.7351,0.0,0.31094416891432164,0.0,0.0,0.0,0.0,"Take this course, Taiwo is awesome and me and my peers enjoyed this course while learning a ton as well.",0.8591,,0.0,,0.0
ZULU AA,Elementary Zulu 001,Mugane,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=35cfb3717587fee3ed3f320aeb3586531cac0acfc84ca21deb292ba0b44b4c3a910de9180aabe8ba3bf64669537f39f9&ReportType=2&regl=en-US,FAS-126316-2248-1-1-001,FAS-126316-2248-1-1-001(Mugane),126316,25,35,4.82,5.0,5.0,0.5199067515459194,0.0,0.0,0.0,-1.0,4.65,3.0,2.0,4.4,4.88,5.0,5.0,0.33,0.7165909090909091,0.7412,0.0,0.2860636937975368,0.0,0.0,0.0,0.0,"I LOVE LOVE LOVE Ntuli. She is the best professor I've ever had. She genuinely has so much love for each and every student. She wants to see everyone succeed and will do anything to help out a student struggling. Although the language itself is a little confusing, she tries her absolute best to make sure we are learning it. She also doesn't put too high of expectations on her students and always makes sure we are trying our very hardest, even if that isn't necessarily translating to perfect scores. Please take this course and try and get Ntuli as your professor. BEST LANGUAGE AT HARVARD.",0.9935,,0.0,,0.0
AMSTDIES 200,American Studies: Introduction to the Field 001,Bernstein,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=705e410726e3ff0036bdb6a0829c29fb378251932842792d0020b4cefa521dc605783c7edf226b0dbedbca714c517273&ReportType=2&regl=en-US,FAS-113328-2248-1-1-001,FAS-113328-2248-1-1-001(Bernstein),113328,7,8,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,6.14,5.0,5.0,2.85,5.0,5.0,5.0,0.0,0.355125,0.46635,-0.3707,0.5180445693502957,0.0,0.0,0.0,0.0,"Take this class! For those who must, it is well worth the time and effort, and for those interested in American Studies as a secondary or any other reason: this course will convince you to commit!",0.8585,"If you're not sure about American Studies, take the plunge!!",-0.3707,,0.0
ANTHRO 98A,Junior Tutorial in Anthropology 001,Khaira,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8ccf946d7ed2c18a8c73b2b276242ee94931aea3e662439834be6bba4a4bbbd7640c117768702e2594fbb21d77e9974a&ReportType=2&regl=en-US,FAS-205494-2248-1-1-001,FAS-205494-2248-1-1-001(Khaira),205494,12,15,4.5,5.0,5.0,0.674199862463242,4.7,5.0,5.0,0.6435381994422819,4.5,4.0,6.0,1.35,4.75,5.0,5.0,0.46,0.8665166666666667,0.94245,0.9257,0.19320804762397106,0.0,0.0,0.0,0.0,"Of course, this tutorial is a required course for the anthropology concentration, but I think it was an almost exclusively enjoyable experience! It's probably one of the least arduous junior tutorials, and it's definitely much less taxing than sophomore tutorial. This course is critical for expanding your view of anthropologists' roles and for planning your senior thesis (whether or not that's something you're sure you'd like to do). It's also a really enjoyable class due to the strong support system, including both course staff and the rest of your cohort.",0.9718,,0.0,,0.0
ANTHRO 1224,Hacker Culture and Politics 001,Coleman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=bf5ed916350404ccf5cdf98f1fd18efcbad387d3440a3a129f81f7f3d2b56c8f31bba19c5e558127239e7253cb1af063&ReportType=2&regl=en-US,FAS-220175-2248-1-1-001,FAS-220175-2248-1-1-001(Coleman),220175,8,13,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.25,5.0,5.0,1.75,5.0,5.0,5.0,0.0,0.8224833333333333,0.8959,0.94,0.17241870451510377,0.0,0.0,0.0,0.0,"This was a great class! I highly recommend taking it, even if you know nothing about hackers. It is a really good discussion class, and there are guest speakers who are actually involved in the hacker community, which was very interesting. The only thing I would suggest is to make sure you stay up to date on the readings, since the class was once per week and I found the readings could sneak up on me. Reasonable amount of readings though.",0.94,,0.0,,0.0
ANTHRO 1250,"The Pyramids of Giza: Technology, Archaeology, History 001",Manuelian,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2a0fa277bca96dd2dd9236bbbef3160409efe1447c7732029aceb89bbb3312dc367e07c957d8a9989b96a1fba0f8663b&ReportType=2&regl=en-US,FAS-127050-2248-1-1-001,FAS-127050-2248-1-1-001(Manuelian),127050,8,10,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,3.86,4.0,4.0,1.46,5.0,5.0,5.0,0.0,0.6263,0.82335,0.9839,0.4792005968276751,0.0,0.0,0.0,0.0,"This has been one of my favorite classes at Harvard, and if you are interested in taking this course, you SHOULD! Prof. Manuelian is amazing. Not only is he incredibly knowledgeable and an amazing resource for the project and final research paper components of the course, but he is always willing to discuss and to answer questions. The course takes awesome field trips and the student presentation days are an awesome chance to hear classmates present and discuss as a class. You do not need experience in the social sciences to fit into this course, just bring your excitement for ancient Egypt and you will get so much out of this class.",0.9839,Take this course! You will absolutely not regret it. The vis lab is sick.,-0.2457,,0.0
ANTHRO 1270,"Sick: 10,000 Years of Health and Disease 001",Warinner,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3b70915cb296de366dfe5b92665f0b25c1ffdbe924397e1bb0d1ab2c0b561e392e89b1841e1318ea64c12793eab4a743&ReportType=2&regl=en-US,FAS-215940-2248-1-1-001,FAS-215940-2248-1-1-001(Warinner),215940,17,23,4.56,5.0,5.0,0.7137961547213949,4.8,5.0,5.0,0.40201512610368484,5.87,5.0,10.0,2.72,4.56,5.0,5.0,0.73,0.6060111111111112,0.796,0.5844,0.5582366577994597,0.0,0.0,0.0,0.0,"Overall a great class. The material is super interesting and feels very important, especially in a post covid era. Prof. Warinner is such a cool person – hearing about her research is so amazing and she clearly has a lot of passion for the course material. The class is very interdisciplinary, and regardless of your background, you'll come out of the class with some new insights into your own field as well as a deeper appreciation of others. The guest interviews are also super cool and a great opportunity to learn more about research in different fields and different career options. Assignments and grading are very reasonable, thought I will say the pandemic preparedness project can be rough depending on your groupmates.",0.9919,"This course will impress upon you the deeply impactful and devastating effects of disease, revealing its interplay with social structure, cultural and ethnic identity, religion, and colonial power. It will also push you to examine group thinking through the lens of pandemic events, tracing common fears and prejudices and identifying unique contextual influences.",-0.8055,,0.0
ANTHRO 1602,Introduction to Sociocultural Anthropology 001,Harkness,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=823b7f0b606e114ea38c6564ec360de466df287e2d65508a9c32d52b0d18c6a565bc818ce5ba8f35089d3c37ea686460&ReportType=2&regl=en-US,FAS-224348-2248-1-1-001,FAS-224348-2248-1-1-001(Harkness),224348,24,36,4.53,5.0,5.0,0.5016135580465919,4.72,5.0,5.0,0.451260859854213,4.56,3.5,2.0,3.1,4.58,5.0,5.0,0.51,0.7478111111111111,0.9042,0.9149,0.2642801186451813,0.0,0.0,0.0,0.0,"Please take this class. The assignments are broad, short and really allow you to explore your own interests. This is an excellent intro class with few hours time commitment a week. The readings are really interesting and there are some great lectures. Professor Harkness is a really engaging lecturer and its clear that he cares about his students – he's very easy to talk to. Lectures tend to be very linguistic anthropology focused so take this class particularly if you find this aspect of anthropology interesting. There are no sections (which helped a lot with class scheduling) bit there is a lot of small group discussion in class. This class really changed my approach to thinking about how I tackled writing papers for other classes. GEM!",0.9865,,0.0,,0.0
ANTHRO 1610,Ethnographic Research Methods 001,Fierman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=70411bb9882639937ff333b8979e43df5a35ed2f80eec058cfda206394ad208fe71a669068d06aa2f785ecf0363956a7&ReportType=2&regl=en-US,FAS-119379-2248-1-1-001,FAS-119379-2248-1-1-001(Fierman),119379,9,11,4.67,5.0,5.0,0.6674994798166929,5.0,5.0,5.0,0.0,7.11,5.0,5.0,4.43,4.67,5.0,5.0,0.71,0.8689625,0.86875,0.9829,0.07673866482140167,0.0,0.0,0.0,0.0,"TAKE THIS COURSE!!! If you have any interest in Anthro, take this class, especially if it's with Dr. Fierman. She is incredible, and the course is amazing. You won't find yourself completing assignments just to do them, but instead, you will inevitably gain a deeper understanding of the topic. The mini–ethnography project is truly so fun and worthwhile. There is a lot of reading, but you will figure out how to manage it, and you will gain so much from this class.",0.9829,,0.0,,0.0
ANTHRO 1698,Anthropology of Death and Immortality 001,Bernstein,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1e41c863c755fbea126d168cd45514b32b24acc0e76323054a102a57ba0be5114f150d8d1252c1cb2b44824e07142c2e&ReportType=2&regl=en-US,FAS-109571-2248-1-1-001,FAS-109571-2248-1-1-001(Bernstein),109571,17,17,4.38,4.0,4.0,0.5993262210114949,3.91,4.0,5.0,1.246144331822297,5.56,4.0,4.0,2.94,4.31,4.0,4.0,0.7,0.6732333333333334,0.9088499999999999,0.6249,0.5011588876460904,0.0,0.0,0.0,0.0,"be prepared for a good amount of reading, but all of it is fascinating. Prof. Bernstein can seem a bit daunting at first, but is very engaging and kind, and Natalia is an incredible TF. She is so kind and acomodating, and always willing to work with you to help you out with finding sources, thinking through ideas, etc. This was my favorite class of the semester, and I learned so much. A great anthro class, but also great for pre–med, as it encourages you to think differently about death and dying.",0.9917,"This course will change how you look at life and death! It’s also beneficial for anyone studying literature, religion, social sciences or even if you are pursuing a class in med school.",-0.3164,,0.0
ANTHRO 1906,Care in Critical Times 001,Wright,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d84e829effd02a75f1cec378e5165a50615231849ea67499c0f6b72be9cfda001b677014cb5f3e324bd1ca1e4fc0f245&ReportType=2&regl=en-US,FAS-216164-2248-1-1-001,FAS-216164-2248-1-1-001(Wright),216164,12,17,3.5,4.0,3.0,1.1897833481707565,4.45,5.0,5.0,0.8923920866769474,5.75,4.5,3.0,3.39,3.6,3.5,5.0,1.43,0.6335571428571428,0.8115,0.8685,0.41680082316434575,0.14285714285714285,0.0,0.0,0.37796447300922725,"Andie is a great and caring professor. She is very compassionate and clearly cares a lot about the topics taught. You spend most of the time outside of class learning about the community you will work with and building your project. If you have a community project in mind that you've been meaning to start, this course is a great opportunity to do so. It has great resources and Andie and Sal are very accommodating and easy to communicate with! Definitely take this course!!",0.9877,"I would take this course only if you have a serious community partner and project in mind, and you are independent and self–motivated.",-0.0772,"Andi is an absolutely gem of a human! She really embodies the spirit of care in who she is as a person and educator, as expected in a course of this nature. That said, the course has a lot of potential, but falls a bit short in the way your work with the community ultimately comes secondary to more academic discussions of care work.",0.8005
